FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z,VX,VY,VZ,VELOCITY
13,0.06,catheter,tip4,Measured,305.278,42.832,-19.797,1.3,0.2,-0.3,1.273
14,0.065,skull,phantom1,Measured,338.659,353.365,182.567,1.6,2.1,-1.7,2.498
14,0.065,skull,phantom2,Measured,302.158,413.44,148.471,1.4,0.6,0.3,1.748
14,0.065,skull,phantom3,Measured,351.636,347.22,90.406,0.0,0.7,-1.5,1.431
14,0.065,skull,phantom4,Measured,301.861,320.037,154.338,1.2,1.1,-1.9,2.798
14,0.065,catheter,tip1,Measured,303.309,84.575,-20.435,-0.2,3.2,0.0,2.795
14,0.065,catheter,tip2,Measured,356.276,72.284,3.589,1.5,-0.8,-0.3,1.825
14,0.065,catheter,tip3,Virtual,60.99,67.43,-21.859,0.1,10.4,5.8,16.646
14,0.065,catheter,tip4,Measured,305.281,42.834,-19.802,-0.4,0.0,0.8,5.738
15,0.07,skull,phantom1,Measured,338.669,353.374,182.556,1.6,0.8,-0.4,2.313
15,0.07,skull,phantom2,Measured,302.166,413.444,148.476,1.4,1.2,-1.0,2.494
15,0.07,skull,phantom3,Measured,351.639,347.227,90.401,1.1,0.8,-0.5,1.577
15,0.07,skull,phantom4,Measured,301.863,320.042,154.334,2.0,1.9,0.9,2.492
15,0.07,catheter,tip1,Measured,303.307,84.589,-20.422,-0.3,-1.5,1.9,3.57
15,0.07,catheter,tip2,Measured,356.278,72.269,3.587,-0.3,-1.6,0.0,1.401
15,0.07,catheter,tip3,Virtual,60.985,67.503,-21.778,-4.8,22.4,18.2,17.521
15,0.07,catheter,tip4,Measured,305.274,42.832,-19.789,-12.2,-7.8,3.8,5.929
16,0.075,skull,phantom1,Measured,338.675,353.373,182.563,0.3,1.6,1.1,2.114
16,0.075,skull,phantom2,Measured,302.172,413.452,148.461,-0.3,2.6,-2.8,2.269
16,0.075,skull,phantom3,Measured,351.647,347.228,90.401,1.2,1.1,0.0,1.608
16,0.075,skull,phantom4,Measured,301.881,320.056,154.347,0.9,1.8,0.5,2.337
16,0.075,catheter,tip1,Measured,303.306,84.56,-20.416,2.3,-4.4,-1.0,3.264
16,0.075,catheter,tip2,Measured,356.273,72.268,3.589,-0.8,-0.2,0.2,0.989
16,0.075,catheter,tip3,Virtual,60.942,67.654,-21.677,0.7,-2.9,-11.0,17.302
16,0.075,catheter,tip4,Measured,305.159,42.756,-19.764,-0.6,-0.3,-1.8,6.246
17,0.08,skull,phantom1,Measured,338.672,353.39,182.567,-0.6,2.4,0.6,1.916
17,0.08,skull,phantom2,Measured,302.163,413.47,148.448,-0.4,0.5,-0.6,1.681
17,0.08,skull,phantom3,Measured,351.651,347.238,90.401,-0.7,1.6,0.0,1.553
17,0.08,skull,phantom4,Measured,301.872,320.06,154.339,-0.9,1.8,-0.3,1.974
17,0.08,catheter,tip1,Measured,303.33,84.545,-20.432,1.8,-0.2,-1.4,2.986
17,0.08,catheter,tip2,Measured,356.27,72.267,3.589,0.4,-0.2,-0.2,0.613
17,0.08,catheter,tip3,Virtual,60.992,67.474,-21.888,0.5,9.8,-5.5,8.062
17,0.08,catheter,tip4,Measured,305.268,42.829,-19.807,-1.4,0.8,-0.9,1.366
18,0.085,skull,phantom1,Measured,338.669,353.397,182.569,0.4,1.1,0.4,2.033
18,0.085,skull,phantom2,Measured,302.168,413.457,148.455,-0.3,0.1,0.1,0.989
18,0.085,skull,phantom3,Measured,351.64,347.244,90.401,-0.1,1.0,0.8,1.478
18,0.085,skull,phantom4,Measured,301.872,320.074,154.344,-0.3,1.6,0.8,1.891
18,0.085,catheter,tip1,Measured,303.324,84.558,-20.43,-1.5,0.4,-0.4,1.677
18,0.085,catheter,tip2,Measured,356.277,72.266,3.587,0.0,-0.5,0.0,0.554
18,0.085,catheter,tip3,Virtual,60.947,67.752,-21.732,-0.5,-1.4,0.4,16.788
18,0.085,catheter,tip4,Measured,305.145,42.764,-19.773,0.1,-0.3,-0.1,6.157
19,0.09,skull,phantom1,Measured,338.676,353.401,182.571,-1.2,1.4,1.4,2.314
19,0.09,skull,phantom2,Measured,302.16,413.471,148.449,-0.7,1.4,0.8,1.246
19,0.09,skull,phantom3,Measured,351.65,347.248,90.409,-0.7,0.2,1.2,1.512
19,0.09,skull,phantom4,Measured,301.869,320.076,154.347,-1.1,0.4,1.4,2.156
19,0.09,catheter,tip1,Measured,303.315,84.549,-20.436,-0.9,-0.7,0.0,1.461
19,0.09,catheter,tip2,Measured,356.27,72.262,3.589,0.2,-0.5,-0.4,0.961
19,0.09,catheter,tip3,Virtual,60.987,67.46,-21.884,5.0,-36.5,-7.4,17.019
19,0.09,catheter,tip4,Measured,305.269,42.826,-19.808,15.5,4.9,-1.1,7.438
20,0.095,skull,phantom1,Measured,338.657,353.411,182.583,-3.0,1.3,0.9,2.503
20,0.095,skull,phantom2,Measured,302.161,413.471,148.463,-1.6,0.0,0.4,1.882
20,0.095,skull,phantom3,Measured,351.633,347.246,90.413,-1.7,0.4,0.6,1.885
20,0.095,skull,phantom4,Measured,301.861,320.078,154.358,-2.2,1.1,1.4,2.319
20,0.095,catheter,tip1,Measured,303.315,84.551,-20.43,1.2,-1.1,-0.2,1.221
20,0.095,catheter,tip2,Measured,356.279,72.261,3.583,0.2,1.7,0.0,1.098
20,0.095,catheter,tip3,Virtual,60.997,67.387,-21.806,1.3,-11.7,2.0,19.232
20,0.095,catheter,tip4,Measured,305.3,42.813,-19.784,2.8,-3.4,3.6,8.421
21,0.1,skull,phantom1,Measured,338.646,353.414,182.58,-1.5,-0.6,0.8,2.649
21,0.1,skull,phantom2,Measured,302.144,413.471,148.453,-2.2,-0.4,-0.1,2.335
21,0.1,skull,phantom3,Measured,351.633,347.252,90.415,-1.3,0.3,2.0,2.267
21,0.1,skull,phantom4,Measured,301.847,320.087,154.361,-2.1,0.8,0.5,2.608
21,0.1,catheter,tip1,Measured,303.327,84.538,-20.438,0.7,0.2,-0.5,1.529
21,0.1,catheter,tip2,Measured,356.272,72.279,3.589,-0.7,0.5,0.3,1.343
21,0.1,catheter,tip3,Virtual,61.0,67.343,-21.864,-0.3,1.1,-8.1,9.928
21,0.1,catheter,tip4,Measured,305.297,42.792,-19.772,-1.7,-0.2,-2.8,4.058
22,0.105,skull,phantom1,Measured,338.642,353.405,182.591,-1.4,-1.1,2.1,2.781
22,0.105,skull,phantom2,Measured,302.139,413.467,148.462,-2.6,-1.0,1.4,2.949
22,0.105,skull,phantom3,Measured,351.62,347.249,90.433,-0.8,-1.5,1.9,2.288
22,0.105,skull,phantom4,Measured,301.84,320.086,154.363,-2.0,-0.1,1.8,2.822
22,0.105,catheter,tip1,Measured,303.322,84.553,-20.435,-0.1,-0.5,-2.0,2.06
22,0.105,catheter,tip2,Measured,356.272,72.266,3.586,-0.2,-1.3,-0.5,0.952
22,0.105,catheter,tip3,Virtual,60.994,67.398,-21.887,0.3,4.4,-8.6,10.837
22,0.105,catheter,tip4,Measured,305.283,42.811,-19.812,0.3,2.1,-2.4,3.862
23,0.11,skull,phantom1,Measured,338.632,353.403,182.601,-2.7,-2.5,0.9,3.204
23,0.11,skull,phantom2,Measured,302.118,413.461,148.467,-3.1,0.1,1.6,3.217
23,0.11,skull,phantom3,Measured,351.625,347.237,90.434,-0.5,-1.8,0.4,2.264
23,0.11,skull,phantom4,Measured,301.827,320.086,154.379,-1.6,-3.0,0.7,3.001
23,0.11,catheter,tip1,Measured,303.326,84.533,-20.458,-2.5,1.5,1.4,4.079
23,0.11,catheter,tip2,Measured,356.27,72.266,3.584,-0.2,-0.3,0.4,1.039
23,0.11,catheter,tip3,Virtual,61.003,67.387,-21.95,-1.6,3.7,14.1,15.201
23,0.11,catheter,tip4,Measured,305.3,42.813,-19.796,-0.9,-1.1,4.9,3.475
24,0.115,skull,phantom1,Measured,338.615,353.38,182.6,-2.2,-1.7,1.3,3.584
24,0.115,skull,phantom2,Measured,302.108,413.468,148.478,-0.6,-1.9,2.3,3.644
24,0.115,skull,phantom3,Measured,351.615,347.231,90.437,-1.2,-1.2,1.6,2.074
24,0.115,skull,phantom4,Measured,301.824,320.056,154.37,-0.9,-2.3,-1.4,2.585
24,0.115,catheter,tip1,Measured,303.297,84.568,-20.421,-2.9,4.7,4.2,4.137
24,0.115,catheter,tip2,Measured,356.27,72.263,3.59,0.4,-1.1,0.0,0.911
24,0.115,catheter,tip3,Virtual,60.978,67.435,-21.746,-2.2,6.3,20.2,13.987
24,0.115,catheter,tip4,Measured,305.274,42.8,-19.763,-2.0,0.5,0.5,3.005
25,0.12,skull,phantom1,Measured,338.61,353.386,182.614,-1.8,-3.2,1.3,3.977
25,0.12,skull,phantom2,Measured,302.112,413.442,148.49,-0.1,-4.2,1.3,3.367
25,0.12,skull,phantom3,Measured,351.613,347.225,90.45,-0.8,-1.8,0.2,1.82
25,0.12,skull,phantom4,Measured,301.818,320.063,154.365,-1.2,-0.4,0.7,2.695
25,0.12,catheter,tip1,Measured,303.297,84.58,-20.416,0.7,-1.4,-1.6,4.362
25,0.12,catheter,tip2,Measured,356.274,72.255,3.584,0.1,-0.2,-1.0,1.589
25,0.12,catheter,tip3,Virtual,60.981,67.45,-21.748,0.5,-2.4,-5.5,13.405
25,0.12,catheter,tip4,Measured,305.28,42.818,-19.791,0.4,-0.4,-1.7,1.573
26,0.125,skull,phantom1,Measured,338.597,353.348,182.613,-0.8,-4.9,0.1,3.497
26,0.125,skull,phantom2,Measured,302.107,413.426,148.491,-1.1,-1.9,1.5,3.113
26,0.125,skull,phantom3,Measured,351.607,347.213,90.439,-0.8,-0.2,-0.8,1.359
26,0.125,skull,phantom4,Measured,301.812,320.052,154.377,-1.6,-3.3,1.0,3.09
26,0.125,catheter,tip1,Measured,303.304,84.554,-20.437,-1.2,-3.0,-2.2,2.735
26,0.125,catheter,tip2,Measured,356.271,72.261,3.58,-2.2,1.3,0.3,1.555
26,0.125,catheter,tip3,Virtual,60.983,67.411,-21.801,-1.0,-7.6,-10.4,8.799
26,0.125,catheter,tip4,Measured,305.278,42.796,-19.78,-0.8,-0.1,0.0,1.63
27,0.13,skull,phantom1,Measured,338.602,353.337,182.615,-0.3,-1.6,0.1,3.011
27,0.13,skull,phantom2,Measured,302.101,413.423,148.505,-0.8,-2.1,0.4,2.338
27,0.13,skull,phantom3,Measured,351.605,347.223,90.442,0.3,0.0,0.9,1.347
27,0.13,skull,phantom4,Measured,301.802,320.03,154.375,0.4,-3.9,-0.9,3.343
27,0.13,catheter,tip1,Measured,303.285,84.55,-20.438,1.0,-1.8,0.0,2.765
27,0.13,catheter,tip2,Measured,356.252,72.268,3.587,-0.8,-0.7,0.1,1.707
27,0.13,catheter,tip3,Virtual,60.971,67.374,-21.852,0.6,-3.6,-6.5,10.832
27,0.13,catheter,tip4,Measured,305.272,42.817,-19.791,0.7,0.6,-2.1,1.998
28,0.135,skull,phantom1,Measured,338.594,353.332,182.614,-0.3,-2.2,-1.0,2.266
28,0.135,skull,phantom2,Measured,302.099,413.405,148.495,0.2,-2.0,-0.5,1.722
28,0.135,skull,phantom3,Measured,351.61,347.213,90.448,-0.1,-1.9,-0.4,1.671
28,0.135,skull,phantom4,Measured,301.816,320.013,154.368,0.1,-1.7,-1.4,2.595
28,0.135,catheter,tip1,Measured,303.314,84.536,-20.437,1.1,1.5,1.4,2.099
28,0.135,catheter,tip2,Measured,356.263,72.254,3.581,0.7,-1.1,-0.7,1.238
28,0.135,catheter,tip3,Virtual,60.989,67.375,-21.866,0.0,6.7,10.1,7.971
28,0.135,catheter,tip4,Measured,305.285,42.802,-19.801,-0.6,-2.1,1.9,2.425
29,0.14,skull,phantom1,Measured,338.599,353.315,182.605,0.9,-1.5,-2.1,2.12
29,0.14,skull,phantom2,Measured,302.103,413.403,148.5,0.7,-0.1,0.4,1.499
29,0.14,skull,phantom3,Measured,351.604,347.204,90.438,-0.9,-1.5,-1.2,1.437
29,0.14,skull,phantom4,Measured,301.803,320.013,154.361,0.5,-1.3,-0.7,1.782
29,0.14,catheter,tip1,Measured,303.296,84.565,-20.424,-1.6,1.0,-0.3,2.423
29,0.14,catheter,tip2,Measured,356.259,72.257,3.58,-0.6,0.6,0.8,1.027
29,0.14,catheter,tip3,Virtual,60.971,67.441,-21.751,-1.0,2.5,-3.4,9.01
29,0.14,catheter,tip4,Measured,305.266,42.796,-19.772,-1.1,1.7,-0.5,2.403
30,0.145,skull,phantom1,Measured,338.603,353.317,182.593,0.6,0.5,-0.9,2.084
30,0.145,skull,phantom2,Measured,302.106,413.404,148.499,0.8,-1.4,0.0,1.044
30,0.145,skull,phantom3,Measured,351.601,347.198,90.436,0.1,-0.2,0.1,0.983
30,0.145,skull,phantom4,Measured,301.821,320.0,154.361,0.5,-1.2,-0.9,1.919
30,0.145,catheter,tip1,Measured,303.298,84.546,-20.44,1.0,-2.3,-1.7,1.93
30,0.145,catheter,tip2,Measured,356.257,72.26,3.589,-0.1,-0.3,0.3,0.811
30,0.145,catheter,tip3,Virtual,60.979,67.4,-21.9,0.3,3.7,-9.9,5.263
30,0.145,catheter,tip4,Measured,305.274,42.819,-19.806,-1.2,0.8,-1.7,1.672
31,0.15,skull,phantom1,Measured,338.605,353.32,182.596,0.7,2.2,0.3,1.612
31,0.15,skull,phantom2,Measured,302.111,413.389,148.5,-0.5,-0.4,0.3,1.096
31,0.15,skull,phantom3,Measured,351.605,347.202,90.439,0.3,0.3,-0.4,0.97
31,0.15,skull,phantom4,Measured,301.808,320.001,154.352,0.0,1.8,-1.9,2.094
31,0.15,catheter,tip1,Measured,303.306,84.542,-20.441,-0.2,0.8,-0.2,2.411
31,0.15,catheter,tip2,Measured,356.258,72.254,3.583,-0.2,0.8,-0.1,1.129
31,0.15,catheter,tip3,Virtual,60.974,67.478,-21.85,-0.4,0.6,0.5,10.371
31,0.15,catheter,tip4,Measured,305.254,42.804,-19.789,-0.6,-0.2,0.3,5.902
32,0.155,skull,phantom1,Measured,338.61,353.339,182.596,1.1,0.6,-0.4,1.617
32,0.155,skull,phantom2,Measured,302.101,413.4,148.502,0.2,0.9,-0.3,1.311
32,0.155,skull,phantom3,Measured,351.604,347.201,90.432,0.8,1.5,-1.2,1.633
32,0.155,skull,phantom4,Measured,301.821,320.018,154.342,0.8,1.9,-0.3,2.211
32,0.155,catheter,tip1,Measured,303.296,84.554,-20.442,-2.6,2.0,0.7,2.057
32,0.155,catheter,tip2,Measured,356.255,72.268,3.588,-1.8,1.0,-0.5,1.246
32,0.155,catheter,tip3,Virtual,60.975,67.406,-21.895,-6.2,16.4,8.9,17.992
32,0.155,catheter,tip4,Measured,305.268,42.817,-19.803,-13.4,-5.9,-2.0,10.723
33,0.16,skull,phantom1,Measured,338.616,353.326,182.592,-0.1,-0.8,-0.9,1.614
33,0.16,skull,phantom2,Measured,302.113,413.398,148.497,0.4,1.8,-1.3,1.956
33,0.16,skull,phantom3,Measured,351.613,347.217,90.427,0.4,2.2,0.0,1.795
33,0.16,skull,phantom4,Measured,301.816,320.02,154.349,0.3,1.4,1.3,2.089
33,0.16,catheter,tip1,Measured,303.28,84.562,-20.434,-1.2,-1.2,-1.0,2.39
33,0.16,catheter,tip2,Measured,356.24,72.264,3.578,-0.7,-0.3,0.2,1.204
33,0.16,catheter,tip3,Virtual,60.912,67.642,-21.761,-5.8,31.5,9.6,24.646
33,0.16,catheter,tip4,Measured,305.12,42.745,-19.809,-15.1,-6.3,3.3,15.459
34,0.165,skull,phantom1,Measured,338.609,353.331,182.587,0.3,2.3,0.0,2.45
34,0.165,skull,phantom2,Measured,302.105,413.418,148.489,-0.7,1.9,-1.7,2.528
34,0.165,skull,phantom3,Measured,351.608,347.223,90.432,-0.4,0.7,-0.7,1.25
34,0.165,skull,phantom4,Measured,301.824,320.032,154.355,0.9,1.9,0.8,2.233
34,0.165,catheter,tip1,Measured,303.284,84.542,-20.452,1.0,-1.5,-0.4,1.469
34,0.165,catheter,tip2,Measured,356.248,72.265,3.59,0.7,0.0,0.1,0.88
34,0.165,catheter,tip3,Virtual,60.917,67.721,-21.799,5.0,-19.7,-4.6,29.092
34,0.165,catheter,tip4,Measured,305.117,42.754,-19.77,13.1,6.5,2.9,16.016
35,0.17,skull,phantom1,Measured,338.619,353.349,182.592,0.3,3.8,0.3,3.421
35,0.17,skull,phantom2,Measured,302.106,413.417,148.48,-0.1,2.4,-1.2,2.745
35,0.17,skull,phantom3,Measured,351.609,347.224,90.42,0.0,0.4,0.2,1.123
35,0.17,skull,phantom4,Measured,301.825,320.039,154.357,-1.0,2.2,0.7,2.472
35,0.17,catheter,tip1,Measured,303.29,84.547,-20.438,0.5,0.1,0.3,1.004
35,0.17,catheter,tip2,Measured,356.247,72.264,3.579,0.5,-0.5,-0.9,0.873
35,0.17,catheter,tip3,Virtual,60.962,67.445,-21.807,5.3,-31.0,-10.0,20.177
35,0.17,catheter,tip4,Measured,305.251,42.81,-19.78,14.3,6.7,-4.6,11.686
36,0.175,skull,phantom1,Measured,338.612,353.369,182.59,-0.4,4.1,0.0,3.398
36,0.175,skull,phantom2,Measured,302.104,413.442,148.477,0.4,2.7,-1.0,2.461
36,0.175,skull,phantom3,Measured,351.608,347.227,90.434,0.2,1.2,1.4,1.169
36,0.175,skull,phantom4,Measured,301.814,320.054,154.362,-1.3,2.3,0.2,2.632
36,0.175,catheter,tip1,Measured,303.289,84.543,-20.449,0.5,0.2,0.2,1.129
36,0.175,catheter,tip2,Measured,356.253,72.26,3.581,0.7,0.1,0.3,0.924
36,0.175,catheter,tip3,Virtual,60.97,67.411,-21.899,0.9,-3.7,-5.5,15.686
36,0.175,catheter,tip4,Measured,305.26,42.821,-19.816,1.1,1.5,-3.2,7.986
37,0.18,skull,phantom1,Measured,338.615,353.39,182.592,-0.5,2.0,0.9,3.31
37,0.18,skull,phantom2,Measured,302.11,413.444,148.47,-0.7,1.6,0.4,2.4
37,0.18,skull,phantom3,Measured,351.611,347.236,90.434,-0.3,1.0,0.6,1.503
